id,name,artist,valence,energy,danceability,tempo,genres,duration (ms),explicit,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,mood
5sA3i6SGkILMiZW6Fhx4wv,the way things go,beabadoobee,0.463,0.513,0.528,131.952,"['bedroom pop', 'bubblegrunge', 'indie pop', 'pov: indie']",187800,False,9,-8.266,1,0.0306,0.848,0.0127,0.326,Sad
1RaF9xwakfao1RRknWyYB5,4runner,Brenn!,0.483,0.508,0.588,128.025,['singer-songwriter pop'],265454,False,1,-10.667,1,0.095,0.318,0.000186,0.421,Sad
0DiwE0n9CdMBf8Ow3g5C2F,it is what it is,Abe Parker,0.181,0.542,0.526,134.535,['singer-songwriter pop'],195998,False,3,-5.732,0,0.0373,0.454,0.0,0.423,Sad
2dHHgzDwk4BJdRwy9uXhTO,Creepin' (with The Weeknd & 21 Savage),Metro Boomin,0.157,0.613,0.716,97.914,['rap'],221520,True,1,-6.018,0,0.0522,0.391,0.0,0.0813,Sad
7MLDhEMEky6lkTJkATVuFp,Impossible,Snt,0.57,0.22,0.448,155.017,[],226154,False,4,-12.69,0,0.0377,0.828,0.0,0.364,Sad
1yUO5lVnOstziQEz7byXBx,close with desires (right person wrong timing),teo glacier,0.48,0.436,0.665,130.079,['bedroom r&b'],203144,False,11,-8.076,0,0.0421,0.318,1.1e-05,0.114,Sad
6BrfgV35h3NfTtIdMqhmFQ,we're all eating each other,Juliet Ivy,0.601,0.639,0.777,105.014,[],151143,False,2,-5.701,1,0.0289,0.0117,0.000222,0.209,Sad
2iC9xdV7OXkUBsDWZ8CNzW,crowded places,Kamal.,0.152,0.277,0.514,83.534,['modern indie pop'],150860,False,6,-15.067,1,0.0615,0.66,0.00637,0.106,Sad
5XsAal7ZcWg1I5T4NcRjkv,Halley's Comet,Billie Eilish,0.0381,0.159,0.403,72.38,"['art pop', 'pop']",234761,False,1,-16.728,0,0.104,0.961,0.0121,0.34,Sad
1VL6vvlSUBiL55yGLzzWBH,11:45,BRAN,0.395,0.359,0.483,170.122,"['covertronica', 'traprun']",162429,False,9,-10.357,0,0.0852,0.928,1.06e-05,0.147,Sad
6F5mZpEEjhsAW8UEqbIpz1,Tired,beabadoobee,0.345,0.418,0.63,140.037,"['bedroom pop', 'bubblegrunge', 'indie pop', 'pov: indie']",199515,True,7,-7.111,0,0.0254,0.483,0.15,0.111,Sad
6WlmEymaXKMRs3D2c4j6os,Inside Out,Duster,0.652,0.465,0.553,79.223,"['corecore', 'pov: indie', 'slowcore']",141040,False,9,-9.664,1,0.0301,0.84,0.97,0.102,Sad
26b3oVLrRUaaybJulow9kz,People,Libianca,0.693,0.422,0.573,124.357,['afrobeats'],184791,False,10,-7.621,0,0.0678,0.551,1.31e-05,0.102,Sad
5hnGrTBaEsdukpDF6aZg8a,How Do I Say Goodbye,Dean Lewis,0.393,0.641,0.4,81.552,"['australian pop', 'pop']",163603,False,8,-6.303,1,0.0674,0.214,0.0,0.0656,Sad
1LUXhYSwa1fcf1BBMKOJE4,Do I Wanna Know?,deer noir,0.129,0.322,0.26,84.929,[],239294,False,9,-13.212,0,0.035,0.925,0.000742,0.103,Sad
4rHfpAN2CK3H6eRWd7j7E0,Fear,Current Joys,0.506,0.447,0.716,93.955,"['lo-fi indie', 'pov: indie']",216540,False,2,-8.314,1,0.0388,0.701,0.429,0.0855,Sad
5ZjV4yevHO1QhMw8AjyQbZ,Good Looking,Suki Waterhouse,0.266,0.561,0.364,150.07,['indie pop'],214800,False,4,-9.076,1,0.03,0.0776,0.000348,0.125,Sad
4OmfWzukSVD140NiAIEjem,Static,Steve Lacy,0.215,0.305,0.335,79.001,['afrofuturism'],156507,True,1,-12.661,1,0.0741,0.434,0.631,0.101,Sad
1ovZe7upcqycTuPFfOg6kB,complex (demo),Katie Gregson-MacLeod,0.258,0.167,0.384,95.102,[],256108,False,0,-9.92,1,0.0375,0.924,0.0,0.118,Sad
35PKfoynRpVFoAUE3D5Kc6,Work Song,Hozier,0.262,0.388,0.433,177.234,"['irish singer-songwriter', 'modern rock', 'pov: indie']",229716,False,10,-7.687,1,0.0998,0.776,0.0,0.112,Sad
2M9ro2krNb7nr7HSprkEgo,Fast Car,Tracy Chapman,0.194,0.292,0.711,103.951,"['folk', 'lilith', 'singer-songwriter', ""women's music""]",296800,False,4,-15.523,0,0.037,0.313,0.0,0.131,Sad
5KsdpA6yTbWq7OuPlcP3It,sparks,LEIDAN,0.119,0.318,0.379,92.986,[],183971,False,1,-10.908,1,0.114,0.305,0.00181,0.0949,Sad
4UGvqm3e7UElrrriPtnhwz,Habits,Genevieve Stokes,0.438,0.287,0.663,82.457,['modern alternative pop'],136733,False,9,-9.469,1,0.0344,0.854,6.85e-06,0.346,Sad
5vUnjhBzRJJIAOJPde6zDx,TO THE MOON,JNR CHOI,0.386,0.65,0.745,144.047,['gambian hip hop'],152137,True,2,-11.814,1,0.346,0.0451,0.00758,0.111,Sad
0ZyMnNiR8456K5EQ66Z97b,25,Miranda Fling,0.231,0.583,0.671,129.878,[],149077,False,10,-10.697,0,0.0332,0.634,0.0252,0.127,Sad
5TXDeTFVRVY7Cvt0Dw4vWW,Revenge,XXXTENTACION,0.18,0.251,0.746,139.999,"['emo rap', 'miami hip hop', 'rap']",120027,True,11,-16.169,0,0.259,0.782,0.00203,0.106,Sad
2phAGMKTgjWyL3b1sQjsZ2,You Were Needed the Most,longlost,0.237,0.667,0.625,152.016,[],151579,False,2,-8.409,1,0.0492,0.141,0.567,0.0844,Sad
59CfNbkERJ3NoTXDvoURjj,Boyfriend,Dove Cameron,0.232,0.612,0.345,179.773,['pop'],153000,True,7,-6.543,0,0.0608,0.232,0.0,0.194,Sad
1j6Ru0hAZS1ksXXrZKRmYi,Sweater Weather,Valentin,0.398,0.387,0.739,123.969,[],202161,False,7,-7.974,0,0.0367,0.791,0.0,0.0926,Sad
5aXfGM7WVcqyAvqnL7k0y3,Remember - Acoustic,Becky Hill,0.509,0.379,0.62,118.899,"['pop dance', 'pop house', 'uk dance', 'uk pop']",178627,False,3,-8.675,1,0.0412,0.797,0.0,0.195,Sad
70LcF31zb1H0PyJoS1Sx1r,Creep,Radiohead,0.104,0.43,0.515,91.844,"['alternative rock', 'art rock', 'melancholia', 'oxford indie', 'permanent wave', 'rock']",238640,True,7,-9.935,1,0.0372,0.0097,0.000133,0.129,Sad
0otRX6Z89qKkHkQ9OqJpKt,Car's Outside,James Arthur,0.259,0.562,0.338,149.907,"['pop', 'talent show', 'uk pop']",248373,False,9,-7.181,1,0.029,0.039,0.0,0.107,Sad
6qrcJkIpuWpxH0ruS8WVAy,In This Darkness,Clara La San,0.189,0.228,0.647,119.828,[],197000,False,2,-19.288,1,0.0668,0.841,0.00149,0.108,Sad
7795WJLVKJoAyVoOtCWqXN,I'm Not The Only One,Sam Smith,0.493,0.484,0.678,82.004,"['pop', 'uk pop']",239317,False,5,-5.795,1,0.0361,0.529,2.01e-05,0.0766,Sad
